x,y,score,dist,stereotype,appropriate
woman,man,0.9619042277336121,0.6920487284660339,unknown,unknown
queen,king,0.9224942326545715,0.8518831729888916,no,yes
herself,himself,0.9161308407783508,0.8021826148033142,unknown,unknown
she'sa,he'sa,0.8433913588523865,0.7721987366676331,unknown,unknown
sister,brother,0.7792107462882996,0.832290530204773,no,yes
alumna,alumnus,0.7267454862594604,0.7611467242240906,unknown,unknown
businesswoman,businessman,0.6995531320571899,0.8513985276222229,unknown,unknown
actress,actor,0.6925134658813477,0.643426775932312,unknown,unknown
prides_herself,prides_himself,0.6703255772590637,0.8781970143318176,unknown,unknown
chairwoman,chairman,0.6687527298927307,0.8473076820373535,unknown,unknown
shes,hes,0.6622526049613953,0.8491368293762207,unknown,unknown
countrywoman,countryman,0.6581687927246094,0.9820863604545593,unknown,unknown
heroine,hero,0.6534955501556396,0.9786666631698608,unknown,unknown
sisters,brothers,0.651009202003479,0.7910517454147339,unknown,unknown
spokeswoman,spokesman,0.638802707195282,0.676683783531189,unknown,unknown
Miyazato_steadied,liveliest_disagreement,0.6028504371643066,0.9405596852302551,unknown,unknown
petite,stocky,0.5901864767074585,0.9951015710830688,unknown,unknown
comedienne,comedian,0.5861822962760925,0.7392023801803589,unknown,unknown
frontwoman,frontman,0.5859782695770264,0.9180152416229248,unknown,unknown
councilwoman,councilman,0.5832777619361877,0.6784836053848267,unknown,unknown
twin_granddaughters,son,0.579373836517334,0.9956564903259277,unknown,unknown
motherly,fatherly,0.5769030451774597,0.8400962948799133,unknown,unknown
women,men,0.5569196939468384,0.6819182634353638,unknown,unknown
sisterly,brotherly,0.55419921875,0.8770771026611328,unknown,unknown
saleswoman,salesman,0.5523433685302734,0.8374317288398743,unknown,unknown
demure,dapper,0.5408921241760254,0.9711621999740601,unknown,unknown
motherhood,fatherhood,0.5397258400917053,0.8683604598045349,unknown,unknown
Chairwoman,chairman,0.5395219922065735,0.9959834814071655,unknown,unknown
Spokeswoman,spokesman,0.5309736728668213,0.858119547367096,unknown,unknown
girlish,boyish,0.5204171538352966,0.9215606451034546,unknown,unknown
heroines,heroes,0.5146411657333374,0.969057023525238,unknown,unknown
sorority,fraternity,0.5125147700309753,0.8587449789047241,unknown,unknown
lesbian,gay,0.5107108354568481,0.6135379672050476,unknown,unknown
sisterhood,brotherhood,0.5090151429176331,0.9596078991889954,unknown,unknown
beautician,barber,0.49204468727111816,0.9097363948822021,unknown,unknown
Councilwoman,councilman,0.49106717109680176,0.8464298248291016,unknown,unknown
womanhood,manhood,0.4867873787879944,0.9289044737815857,unknown,unknown
pixie_haircut,shaggy_locks,0.4864920377731323,0.9663181900978088,unknown,unknown
pixie_ish,scraggly_haired,0.48594117164611816,0.9815394878387451,unknown,unknown
floral_frock,trilby_hat,0.48541924357414246,0.8888611197471619,unknown,unknown
mothers,fathers,0.4820224940776825,0.7728209495544434,unknown,unknown
greatgrandmother,grandfather,0.4792051911354065,0.9508877396583557,unknown,unknown
Mezzo_soprano,bass_baritone,0.4753323495388031,0.9002164602279663,unknown,unknown
floral_skirt,pinstripe_suit,0.474430114030838,0.9952875971794128,unknown,unknown
backcombed,shaggy_mane,0.4736739695072174,0.9744819402694702,unknown,unknown
immersing_herself,immersing_himself,0.4641154110431671,0.9278133511543274,unknown,unknown
songstress,crooner,0.46189847588539124,0.7836173176765442,unknown,unknown
chanteuse,troubadour,0.45815813541412354,0.8660542964935303,unknown,unknown
Thalía,reggaeton_artist,0.4571249783039093,0.9328523278236389,unknown,unknown
petite_frame,physique,0.4566618800163269,0.9654873013496399,unknown,unknown
eponymous_heroine,nameless_protagonist,0.4543475806713104,0.8670272827148438,unknown,unknown
immersed_herself,immersing_himself,0.45160260796546936,0.9647569060325623,unknown,unknown
Cheryl_Moana,now_heeeee_ere,0.44906890392303467,0.9934892058372498,unknown,unknown
bitchy,egotistical,0.4441564381122589,0.9834473133087158,unknown,unknown
feminist,liberationist,0.4409942328929901,0.9255416393280029,unknown,unknown
Girls_Aloud_babe,w_**_ker,0.4364452064037323,0.961183488368988,unknown,unknown
grandaughters,grandsons,0.4362742602825165,0.8571364879608154,unknown,unknown
Actress,actor,0.4353194832801819,0.9501537084579468,unknown,unknown
sparkly_frock,dickie_bow,0.4352495074272156,0.9604922533035278,unknown,unknown
tortie,neutered_male,0.43283724784851074,0.7691339254379272,unknown,unknown
coquette,evil_henchman,0.43227678537368774,0.9998838305473328,unknown,unknown
sassy,wisecracking,0.4313891530036926,0.935353696346283,unknown,unknown
Satyana,lil_bro,0.428589403629303,0.9702272415161133,unknown,unknown
girlishness,impishness,0.4278500974178314,0.8934972882270813,unknown,unknown
manicurist,barber,0.42753225564956665,0.991945743560791,unknown,unknown
Roland_Mouret_dress,designer_stubble,0.427168607711792,0.9829253554344177,unknown,unknown
immerses_herself,immerses_himself,0.42509573698043823,0.9283595681190491,unknown,unknown
nipple_tassels,kecks,0.420870304107666,0.8978204727172852,unknown,unknown
millionairess,multi_millionaire,0.41874173283576965,0.984168291091919,unknown,unknown
sleeveless_blouse,zippered_jacket,0.4185989499092102,0.8782298564910889,unknown,unknown
Comedienne,comedian,0.4163801670074463,0.9171993732452393,unknown,unknown
undergo_hysterectomy,undergo_surgery,0.4149709939956665,0.9884384870529175,unknown,unknown
bobbed_haircut,roguish_grin,0.41312116384506226,0.9298655390739441,unknown,unknown
maternal_instincts,paternal_instincts,0.41013771295547485,0.895169198513031,unknown,unknown
curvacious,chiseled_torso,0.4097331166267395,0.9872722029685974,unknown,unknown
femininity,masculinity,0.4095856845378876,0.8204773664474487,unknown,unknown
seamed_stockings,pinstriped_trousers,0.40944960713386536,0.8965323567390442,unknown,unknown
mothering,fatherhood,0.4063258767127991,0.9722254276275635,unknown,unknown
peep_toe_pumps,zippered_jacket,0.40409672260284424,0.912835419178009,unknown,unknown
lip_glossed,mooks,0.4027591943740845,0.9611456990242004,unknown,unknown
womanly,manly,0.39855486154556274,0.9410375952720642,unknown,unknown
actresses,actors,0.3978169560432434,0.7451258897781372,unknown,unknown
playsuit,dickie_bow,0.3951030373573303,0.8987831473350525,unknown,unknown
bridesmaid_gown,dickie_bow,0.3908226191997528,0.9891718029975891,unknown,unknown
chiffon_blouse,linen_jackets,0.3867100775241852,0.8750029802322388,unknown,unknown
torti,neutered_male,0.38439762592315674,0.8948498368263245,unknown,unknown
bra,pants,0.38375839591026306,0.9362912774085999,unknown,unknown
catty,snide,0.38208910822868347,0.8608489632606506,unknown,unknown
dowdy,stodgy,0.3794933557510376,0.9512861967086792,unknown,unknown
underskirt,black_beanie_hat,0.37801122665405273,0.9407450556755066,unknown,unknown
backless_dress,trilby_hat,0.37789589166641235,0.8691086173057556,unknown,unknown
strappy_heels,linen_jackets,0.3762585520744324,0.9213321805000305,unknown,unknown
skimpy_outfit,mankini,0.37492382526397705,0.980434775352478,unknown,unknown
skintight_dresses,pinstripe_jerseys,0.37055787444114685,0.932810366153717,unknown,unknown
registered_nurse,x_ray_technician,0.36496126651763916,0.8851420879364014,unknown,unknown
prom_dress,tuxedo,0.36489152908325195,0.9873676896095276,unknown,unknown
Lucite_heels,hightop,0.3636395037174225,0.9186981916427612,unknown,unknown
polka_dot_bikini,velvet_blazer,0.3619876503944397,0.8821028470993042,unknown,unknown
sexpot,lothario,0.3594778776168823,0.9121004939079285,unknown,unknown
handmade_dolls,wood_carvings,0.3592028021812439,0.9336519241333008,unknown,unknown
strapless_satin,linen_jackets,0.3578442931175232,0.9179894924163818,unknown,unknown
leopard_print_bikini,trilby_hat,0.3553990125656128,0.9641441106796265,unknown,unknown
skimpy_bikinis,bathing_trunks,0.3551129996776581,0.9791771769523621,unknown,unknown
satin_sashes,purple_robe,0.3538835644721985,0.8760815262794495,unknown,unknown
Sassi_Holford,rumpled_striped,0.3533951938152313,0.8768183588981628,unknown,unknown
satin_slippers,baggy_overalls,0.35332298278808594,0.9244675040245056,unknown,unknown
pieced_quilts,brocade_fabrics,0.35158973932266235,0.9605733156204224,unknown,unknown
fake_eyelashes,kecks,0.3508627116680145,0.9981114268302917,unknown,unknown
miniature_poodle,german_shepherd,0.3489270806312561,0.8882625699043274,unknown,unknown
leopard_print_dress,trilby_hat,0.3481644093990326,0.9393841028213501,unknown,unknown
bridesmaid_dresses,tuxedo,0.34719952940940857,0.9981433749198914,unknown,unknown
glammed,duded,0.34591102600097656,0.9707978367805481,unknown,unknown
Selectwoman,selectman,0.3452706038951874,0.7529035806655884,unknown,unknown
Valentino_gown,gray_waistcoat,0.34345191717147827,0.9167182445526123,unknown,unknown
barrette,velcro_strap,0.3429279029369354,0.9559187293052673,unknown,unknown
pinafores,knickerbockers,0.34117573499679565,0.8931789398193359,unknown,unknown
fake_boobs,moobs,0.3383893072605133,0.9113378524780273,unknown,unknown
lacy_underwear,flannelette_shirt,0.33634984493255615,0.9849094748497009,unknown,unknown
pageants,competitions,0.3271006941795349,0.9978964328765869,unknown,unknown
Haute_Hippie,corduroy_blazer,0.3264574706554413,0.9109858274459839,unknown,unknown
Grecian_inspired,pinstripe_pants,0.3253253996372223,0.8373408913612366,unknown,unknown
strapless_backless,elasticated_waist,0.32267969846725464,0.8962334990501404,unknown,unknown
Willis_Aronowitz,kevin_keating_staff,0.3141222894191742,0.9245535135269165,unknown,unknown
stargazer_lily,monarda,0.3078997731208801,0.96153324842453,unknown,unknown
Olay_Quench,dandruff_shampoo,0.3041756749153137,0.993079662322998,unknown,unknown
breast_prostheses,orthoses,0.3029366433620453,0.954092800617218,unknown,unknown
lingerie_swimwear,sportswear_footwear,0.3028547167778015,0.8212857246398926,unknown,unknown
esthetician,naturopathic_doctor,0.3024294376373291,0.9148468971252441,unknown,unknown
handmade_beaded_jewelry,lamps_chandeliers,0.29664021730422974,0.9475303292274475,unknown,unknown
mommies,daddies,0.2948474884033203,0.8553810119628906,unknown,unknown
nightdress,dressing_gown,0.29310503602027893,0.8183012008666992,unknown,unknown
feminine,masculine,0.2879902720451355,0.7005147933959961,unknown,unknown
lipgloss,mattifying,0.28409868478775024,0.8786171078681946,unknown,unknown
floral_fragrance,floral_aromas,0.2807999551296234,0.8170183897018433,unknown,unknown
crocheted_blankets,hats_mittens_scarves,0.2803572714328766,0.8489937782287598,unknown,unknown
breast_cancer_survivor,cancer_survivor,0.2779022753238678,0.7953194975852966,unknown,unknown
donor_insemination,sperm_donation,0.272255539894104,0.8668586015701294,unknown,unknown
transracially_adopted,genders_ethnicities,0.2676829993724823,0.9854064583778381,unknown,unknown
bridal_dresses,sherwanis,0.2475612312555313,0.9372669458389282,unknown,unknown
silk_organza_gown,chiffon_skirt,0.24677768349647522,0.7426252365112305,unknown,unknown
chick_lit,literary_fiction,0.23645459115505219,0.8393113017082214,unknown,unknown
lipsticks,hair_dye,0.23406833410263062,0.9415811896324158,unknown,unknown
Latina,latino,0.2321714609861374,0.9275864362716675,unknown,unknown
celeb_stylist,celebrity_hair_stylist,0.22479282319545746,0.8023614883422852,unknown,unknown
maternity_clothes,onesies,0.21890757977962494,0.9288055896759033,unknown,unknown
Itay_Malkin,rolex_watches,0.20001764595508575,0.9934988617897034,unknown,unknown
brides_bridesmaids,florists_photographers,0.1917826533317566,0.8681135177612305,unknown,unknown
fashionista,fashionistas,0.15507210791110992,0.7229864001274109,unknown,unknown
pageant,beauty_pageant,0.05758754909038544,0.6686901450157166,unknown,unknown
wedding_gowns,wedding_dresses,0.04508574679493904,0.6768466234207153,unknown,unknown
